Gene,N-FACS (1+2+3),N-T0 (2+3),N-T3 (1+2+3)
CG33120,0.031214078,0.589632981,0.0326949
CG33123,278.0678025,253.4912256,217.4172976
CG33124,0.064662592,0.052041256,0.038123022
CG33125,0.033448513,0,0.070817922
CG33127,0.187908214,0.037557365,0
CG33128,0.031214078,0,0
CG33129,512.2322627,396.7148105,334.8131292
CG3313,18.40402864,17.62634359,16.06365517
CG33136,0.731954157,0.404541433,0.621918405
CG33137,0.941809727,0.462476995,0.421600035
CG33140,0.625200072,0.395951849,0.440880386
CG33143,7.386302137,3.0141863,3.030038484
CG33144,23.94738465,40.25134301,43.24855847
CG33145,43.28799106,55.05010311,42.04594233
CG33155,5.614427149,8.358440498,10.22719972
CG33156,25.08046947,35.33689524,30.41658179
CG33158,76.44167773,175.786475,200.0005511
CG33159,0.225201854,0.187786826,0.108940944
CG33160,0.341415188,0.202270716,0.0980847
CG33169,0.945949613,2.915998095,2.644440847
CG33170,65.78600313,52.37478987,46.37731249
CG33172,15.20970071,23.78927774,22.31638419
CG33177,0.227436289,0.48555047,0.362076038
CG33178,1.784850382,1.398715847,1.533378094
CG33181,112.778264,170.1649603,185.2882764
CG33189,0.093642235,0,0
CG33191,0.031214078,0,0
CG33199,0.871362334,0.15022946,0.115648219
CG33203,5.818032481,1.950791463,2.102605943
CG3321,121.9927328,97.34135823,81.29231575
CG33213,28.30638416,37.10158765,30.24120782
CG33217,50.15268103,32.34190313,35.30629046
CG33223,0,0.104082512,0.076246044
CG33225,0.19622221,0.387362265,0.378360404
CG33226,0.131559618,0.141639877,0.078804349
CG33228,10.38983849,12.07762715,10.02248005
CG33229,55.56823312,144.442927,154.8010081
CG3323,2.669222333,2.575286533,2.253507366
CG33230,22.65089906,44.65464807,48.35508989
CG33233,0.693378808,0,0.038123022
CG33234,0.565335333,0,0.076246044
CG33235,0.41790792,0.829461063,0.818929278
CG33252,0,0,0.076246044
CG33253,0.558303046,0.537591726,0.256004911
CG33255,1.86597029,2.219587326,3.283796604
CG33257,0,0,0
CG33258,0.251947062,0.156123767,0.0980847
CG33259,0,0,0
CG3326,9.952422549,13.55465676,12.37981175
CG33260,4.709172716,5.136089174,5.133923579
CG33262,0.062428157,0,0
CG33263,0,0,0
CG33267,1.244128055,0.783314114,1.18771259
CG33268,0.062428157,0,0.038123022
CG33269,0,0,0.038123022
CG33270,0,0,0
CG33271,0,0,0
CG33272,0.033448513,0,0.039402174
CG33275,24.71599546,29.77200715,19.57590368
CG33276,10.40628387,13.23601116,12.03685601
CG33278,0.124856314,0,0
CG3328,8.14757642,3.124163119,1.94384426
CG33281,0.093642235,0.260206279,0.147063966
CG33282,0,0.104082512,0.103512822
CG33284,0,0,0
CG33285,0,0,0
CG33286,0.062428157,0,0
CG33287,0.031214078,0,0.070817922
CG33288,12.16940417,10.92463369,10.12228158
CG33290,0.405125054,0.037557365,0.076246044
CG33293,0.34749475,0.48555047,0.338646717
CG33296,0.062428157,0.202270716,0.072097074
CG33298,76.00702476,104.2402498,84.49418607
CG33299,0.059864739,0,0.038123022
CG3330,0.156070392,0,0.038123022
CG33301,0.031214078,0,0
CG33303,216.3335853,249.3851804,203.6485342
CG33306,0.721700486,0.650263821,0.961440482
CG33307,1.849807735,2.248555107,3.184685086
CG33308,0.031214078,0,0
CG33309,0,0,0
CG33310,0.160539262,0.052041256,0.142914997
CG3332,0.062428157,0,0
CG33322,0.472645824,0.456582688,0.354089611
CG33325,0.127090749,0.358394484,0.229705772
CG33331,6.433307866,8.658395665,5.959341685
CG33332,19.48362348,20.37173403,17.56958192
CG33333,0,0,0
CG33337,0,0,0.077525197
CG33339,0.031214078,0,0
CG33340,0.062428157,0,0.038123022
CG33341,0,0,0.039402174
CG33342,0,0,0
CG33346,0.031214078,0.037557365,0
CG3335,65.89157245,78.60073679,78.69082881
CG3337,15.51513819,18.44081701,15.85332281
CG3338,33.48739836,41.38395827,40.64798028
CG3339,2.195726015,1.844013674,1.588037817
CG3342,22.13093268,31.89459028,28.71850063
CG3344,0.186955488,2.45991916,2.783206874
CG3345,1.074651054,1.248486386,1.260685024
CG33453,0,0,0
CG33454,0,0,0
CG33458,0,0.07511473,0.077525197
CG33459,0,0.052041256,0.038123022
CG33460,0,0.268795863,0.295407085
CG33461,0.062428157,0,0.153771241
CG33462,0.031214078,0,0.148343119
CG33463,0.186626505,0,0.070817922
CG33465,0.031214078,0.156123767,0.397329242
CG33467,0.031214078,0,0
CG33468,0.384459407,0.127155986,0.187745293
